Gen, Length,  Kommenda,   Fitness,   Length,  Kommenda,  Fitness,   Time Left,  Front Size
0,23.11,3597000,2504,14,14.18,0.4219,   9.63s,5
1,10.57,93070,715,20,32.14,0.3283,   6.51s,6
2,10.16,190.4,6.27,12,27.36,0.3076,   6.03s,5
3,9.352,97750,112.8,12,27.36,0.3076,   5.54s,4
4,9.027,44.85,1.544,12,27.36,0.3076,   5.01s,5
5,9.691,548.5,6.213,12,27.36,0.3076,   4.92s,5
6,9.456,31920,4.972,14,81.98,0.3035,   4.60s,6
7,10.24,154.2,10.77,12,120.8,0.2974,   4.46s,5
8,9.34,364400,4.284,12,52.93,0.2955,   4.13s,5
9,9.488,1723,5.417,12,35.35,0.2905,   3.93s,5
10,9.229,4574,2.818,12,35.35,0.2905,   3.69s,5
11,9.185,9220000,5.76,18,83.41,0.2813,   3.42s,7
12,10.94,25540000,1.449,18,83.41,0.2812,   3.58s,7
13,11.78,4878000,183.7,23,112,0.2798,   3.45s,8
14,13.61,17900000000,49.03,20,197.2,0.2545,   3.39s,8
15,13.34,1.034E+017,6.605,20,197.2,0.2074,   3.04s,9
16,13.79,1026000,11.25,22,482.4,0.1652,   2.72s,10
17,14.47,262900,3.21,22,482.4,0.1652,   2.48s,10
18,13.79,3021000,2.501,19,37.36,0.1302,   2.08s,8
19,13.63,19090000,3.268,17,37.36,0.1209,   1.67s,8
20,12.41,24080,6.594,17,37.36,0.1209,   1.29s,8
21,12.22,362.5,35.86,17,37.36,0.1209,   0.94s,8
22,12.48,1725,5.1,17,37.36,0.112,   0.65s,6
23,12.36,73250,1.206,17,37.36,0.112,   0.35s,7
24,12.38,613.9,34.34,17,37.36,0.112,   0.00s,8
25,12.16,5846,0.9241,17,37.36,0.112,   7.60s,7
26,11.95,627.2,11.33,17,37.36,0.112,   7.19s,7
27,11.74,16920000,22.46,17,37.36,0.112,   6.64s,7
28,11.42,35550000,23.05,13,15.76,0.1039,   6.26s,7
29,10.59,19530,1162,13,15.76,0.1039,   5.65s,7
30,10.18,104.3,10.3,13,15.76,0.1039,   5.08s,7
31,10.45,23220,65.73,13,15.76,0.1039,   4.79s,7
32,10.52,51750,9.476,13,15.76,0.1039,   4.51s,7
33,10.38,72.43,1.748,13,15.76,0.1039,   4.20s,7
34,10.34,2666,6.285,13,15.76,0.1039,   3.99s,7
35,10.3,87000,29.06,14,16.54,0.09682,   3.72s,8
36,10.72,2734,2.261,14,16.54,0.09682,   3.44s,8
37,11.13,1124,36.33,14,16.54,0.09682,   3.18s,8
38,10.95,694100,5.676,14,16.54,0.09682,   2.87s,8
39,11.03,4280,4.252,14,16.54,0.09682,   2.65s,8
40,11.03,146500,54.96,14,16.54,0.09682,   2.37s,8
